% Model:              vacuumTaperCoilV2field.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 28 2025, 16:23
% Dimension:          1
% Nodes:              933
% Expressions:        1
% Description:        Line graph
% y-coordinate (m)        Magnetic flux density, z-component
0.1915762187466415        4.068825929061859
0.19255891002762687       4.049054598285727
0.193202445083697         4.036106946560523
0.193574934840064         4.028612611028753
0.19391516864747882       4.021767251476082
0.19430030218689937       4.014018528404858
0.19482550772041635       4.003451616364892
0.19759171595376335       3.9477966827805586
0.19935014338270995       3.9124178705164834
0.20147671534525535       3.8734031223103624
0.20422708577631465       3.82629024968442
0.20432464226439587       3.8215678512018174
0.2043749179305622        3.8163349976160044
0.2082458602045264        3.750754790821265
0.20880265677958576       3.7415253387262766
0.21178829019683204       3.690064010253309
0.2130181414458837        3.6688659024297787
0.21327688647456278       3.664406090707857
0.2134812944812306        3.6608828492030985
0.21492574363560052       3.635985863536289
0.21720729255860372       3.596660359649712
0.2177511161695398        3.587286842689433
0.2203265418083178        3.542895986133085
0.2214901558481407        3.5228395639436876
0.22222534586451675       3.510277988433112
0.22398784692562565       3.4846639089895537
0.2241827572688174        3.481819107354211
0.22429769842103622       3.4801414910079163
0.2248757988374022        3.4717038627992753
0.22762801816066253       3.4315340190474135
0.22811682982545511       3.4243995991874585
0.23016309995414097       3.392762337224792
0.23016309995414097       3.3945333924325207
0.23202874056726847       3.3639124061764534
0.23366190462392994       3.338657450804142
0.23478767201916645       3.321248786187548
0.23711314333072364       3.2852881158841547
0.23863770320866998       3.261712596007338
0.23881955556891377       3.2628687853298266
0.2400483768915107        3.2577586180484492
0.2400483768915107        3.2491034099428897
0.24089867104231413       3.241878395570565
0.24187153986207746       3.2252090630826276
0.24577615241329082       3.182841961800115
0.24645934494106797       3.1754289632912616
0.24656549491844948       3.174277180167105
0.24691243214583186       3.1705127286476764
0.24879229855465923       3.1501151886880034
0.2511182175750435        3.1236855726260564
0.25199745205725566       3.112594983263721
0.25211850976461325       3.111232115998523
0.2524555108956903        3.1074381583901642
0.2528110315296619        3.103435708280059
0.25284400148872394       3.1030645325910307
0.2554087671193694        3.0743714923665753
0.25730559599830494       3.057892671303356
0.2583458282193032        3.044842935397002
0.26092494027976704       3.0199609191909906
0.26117110520280434       3.017959551656408
0.26118033920282174       3.0178844774840963
0.2643614018260577        2.9920218347441523
0.2652762864526243        2.984583649128969
0.2664581526504374        2.974974852679262
0.26887786375858624       2.955302142224966
0.26910558683218516       2.953450710425696
0.2703769754328123        2.9431140798540554
0.2743626441671551        2.910709836755182
0.2743626441671551        2.911364521998923
0.27553558266400524       2.9017043914004894
0.2758852294443753        2.898824757412205
0.2763024309010995        2.895388754102029
0.2767310745902282        2.891004133275083
0.27729145897560886       2.8856231403523838
0.27759775168145645       2.885287955637917
0.28074900306750256       2.8628582391721125
0.28174008109213655       2.8572211574036572
0.28217165711345743       2.850351611713106
0.28262771691213084       2.843512541037297
0.28350705542592614       2.8393116964392484
0.28650259135767064       2.8194724904594586
0.28805197438508034       2.8082763114579157
0.28884339291979055       2.8025573488624804
0.2893434677479546        2.7989436993056946
0.292527554693946         2.775934793971676
0.29394892965926955       2.765663629089559
0.29474205348424526       2.7599323436954872
0.2951798800699831        2.7567685134876982
0.29855251803022126       2.7323970974838976
0.2998458849334589        2.7230509467212114
0.3006365424437981        2.7173374834535293
0.30101629239201155       2.714593327669705
0.3045774813664966        2.6911854315603767
0.30499712292539277       2.6900319196345386
0.3059557937093016        2.6793410074164994
0.30960612203956195       2.646324668977963
0.3106122626854004        2.6379801202354742
0.3108389237875526        2.636100279059428
0.3118293572486033        2.6278859997475466
0.31529641120441126       2.599131569790994
0.3165656899679193        2.5886046533467053
0.31683470583821316       2.5863735377949553
0.317702920787905         2.5791728924411954
0.32095363117253717       2.5522127339737506
0.322519117250438         2.5392291864580088
0.3228304878888736        2.536646796530559
0.3235764843272067        2.5304597851349393
0.3265721051465293        2.5056152427299305
0.32847254453295693       2.487452978911131
0.32886702004475366       2.4887364401746597
0.329288314991796         2.490571313207525
0.3298490798796574        2.480313987460895
0.3339921762487331        2.441653749584427
0.33481570004501604       2.434557022578384
0.33507705907999286       2.43230475770133
0.33548230215652264       2.4288125702281844
